domain,gamma,prompt_index,cluster_id,trial_index,trial_seed,acceptance_rate_pos2plus_H1,mean_accepted_prefix_H1,mean_accepted_beyond_first_H1,emitted_tokens_per_round_H1,rounds_per_100_tokens_H1,verification_rounds_H1,position_1_survival_H1,decode_seconds_H1,acceptance_rate_pos2plus_H8,mean_accepted_prefix_H8,mean_accepted_beyond_first_H8,emitted_tokens_per_round_H8,rounds_per_100_tokens_H8,verification_rounds_H8,position_1_survival_H8,decode_seconds_H8,accepted_prefix_improvement,accepted_beyond_first_improvement,acceptance_rate_improvement,emitted_tokens_improvement,verification_round_reduction
WikiText-103 test OOD,4,42,20,2,10242082,0.5185185185185185,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.0932731650000278,0.8571428571428571,3.5714285714285716,2.5714285714285716,4.571428571428571,21.875,7.0,1.0,0.07392340600017633,1.0158730158730163,1.015873015873016,0.3386243386243386,1.0158730158730158,6.25
WikiText-103 test OOD,4,42,20,3,10342082,0.48148148148148145,2.3,1.3,3.2,31.25,10.0,1.0,0.10185937200003536,0.6,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.0935604330006754,0.3666666666666667,0.3666666666666667,0.11851851851851852,0.3555555555555552,3.125
WikiText-103 test OOD,4,43,20,0,10043082,0.5,2.3,1.3,3.2,31.25,10.0,1.0,0.10963915100001032,0.6521739130434783,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.09263529899999412,0.3666666666666667,0.3666666666666667,0.15217391304347827,0.3555555555555552,3.125
WikiText-103 test OOD,4,43,20,1,10143082,0.56,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.094703111999479,0.30303030303030304,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.11762581799939653,-0.6464646464646462,-0.6464646464646465,-0.256969696969697,-0.6464646464646462,-6.25
WikiText-103 test OOD,4,43,20,2,10243082,0.34375,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.1123678909998489,0.625,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.0969353360005698,0.6666666666666665,0.6666666666666667,0.28125,0.6464646464646462,6.25
WikiText-103 test OOD,4,43,20,3,10343082,0.5384615384615384,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.09330791399952432,0.2647058823529412,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.1292578530001265,-0.8055555555555554,-0.8055555555555556,-0.27375565610859726,-0.8888888888888888,-9.375
WikiText-103 test OOD,4,44,20,0,10044082,0.3793103448275862,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.11076388000037696,0.5555555555555556,2.5555555555555554,1.6666666666666667,3.5555555555555554,28.125,9.0,0.8888888888888888,0.09888335400046344,0.5555555555555554,0.6666666666666667,0.1762452107279694,0.6464646464646462,6.25
WikiText-103 test OOD,4,44,20,1,10144082,0.7272727272727273,3.0,2.0,4.0,25.0,8.0,1.0,0.08319588599988492,0.34375,2.0,1.0,2.909090909090909,34.375,11.0,1.0,0.11872315000073286,-1.0,-1.0,-0.3835227272727273,-1.0909090909090908,-9.375
WikiText-103 test OOD,4,44,20,2,10244082,0.42857142857142855,2.2,1.2,3.2,31.25,10.0,1.0,0.10226915100065526,0.30303030303030304,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.11857039899950905,-0.290909090909091,-0.2909090909090909,-0.1255411255411255,-0.290909090909091,-3.125
WikiText-103 test OOD,4,44,20,3,10344082,0.5555555555555556,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.09282090299984702,0.375,2.0,1.0909090909090908,2.909090909090909,34.375,11.0,0.9090909090909091,0.11736839399964083,-0.6666666666666665,-0.5757575757575759,-0.18055555555555558,-0.6464646464646462,-6.25
